"name","state","fueltech_id","label","lng","lat"
"Remount","TAS","bioenergy_biogas","Biogas",147.1495,-41.398447
"Tamar Valley","TAS","gas_ccgt","Gas (CCGT)",146.906184786351,-41.1392679526502
"Bairnsdale","VIC","gas_ocgt","Gas (OCGT)",147.56372527022,-37.842230501524796
"Ballarat Hospital","VIC","gas_recip","Gas (Reciprocating)",143.847247,-37.558774
"Berwick","VIC","bioenergy_biogas","Biogas",145.236257,-37.940819
"Broadmeadows","VIC","bioenergy_biogas","Biogas",144.96611399999998,-37.685081
"Brooklyn","VIC","bioenergy_biogas","Biogas",144.82849199999998,-37.818597
"Clayton","VIC","bioenergy_biogas","Biogas",145.119681,-37.950618
"Corio","VIC","bioenergy_biogas","Biogas",144.404905,-38.059048
"Hallam Road","VIC","bioenergy_biogas","Biogas",145.267798,-38.052181
"Jeeralang A","VIC","gas_ocgt","Gas (OCGT)",146.427046429655,-38.2751112170371
"Jeeralang B","VIC","gas_ocgt","Gas (OCGT)",146.424826524902,-38.2738445583474
"Longford","VIC","gas_ocgt","Gas (OCGT)",147.1631,-38.223244
"Mornington Disposal","VIC","bioenergy_biogas","Biogas",144.85479099999998,-38.392053999999995
"Mortlake","VIC","gas_ocgt","Gas (OCGT)",142.666330491351,-38.0626278266324
"Newport","VIC","gas_steam","Gas (Steam)",144.89547862132,-37.8413742466
"Shepparton","VIC","bioenergy_biogas","Biogas",145.379291,-36.322223
"Somerton","VIC","gas_ocgt","Gas (OCGT)",144.95309828615,-37.6309486600574
"Springvale","VIC","bioenergy_biogas","Biogas",145.139695,-37.973375
"Tatura","VIC","bioenergy_biogas","Biogas",145.235037,-36.47915
"Traralgon Network Support","VIC","gas_recip","Gas (Reciprocating)",144.965955,-37.833513
"Valley Aking","VIC","gas_ocgt","Gas (OCGT)",146.58890593343202,-38.2526008522186
"Valley Power","VIC","gas_ocgt","Gas (OCGT)",146.5889456613659,-38.25349870053113
